"CVS Info: $Id: SR12C-PS-portShutterClosed.csv,v 1.1.1.1 2006/01/16 16:10:20 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,22,1,"SR12C-PS-FESHT-01"," ","FE12I SHUTTER","CLOSED","serial","no"," "," ",0
2,22,2,"SR12C-PS-FESHT-02"," ","FE12B SHUTTER","CLOSED","serial","no"," "," ",1
3,22,3,"SR12C-PS-FESHT-03"," ","FE13I SHUTTER","CLOSED","serial","no"," "," ",2
4,22,4,"SR12C-PS-FESHT-04"," ","FE13B SHUTTER","CLOSED","serial","no"," "," ",3
5,22,0,"SR12C-PS-IOC-01"," ","LOP6","PORT SHUTTER CLOSED","lop","yes"," "," ",4
