"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,17,1,"BL06J-PS-SHTOK-01:CR1:M17:S1","EC1J LOP9 PERMIT 5","BL06J-PS-SHTR-01","EXPERIMENT SHUTTER","dup","no","BL06I-PS-eC1JExperimentShutter.edl"," ",0
2,17,2,"BL06J-PS-SHTOK-01:CR1:M17:S2","EC1J LOP9 PERMIT 5","BL06J-PS-SHTR-01","EXPERIMENT SHUTTER","dup","no","BL06I-PS-eC1JExperimentShutter.edl"," ",1
3,17,3,"BL06J-PS-STRCL-01:CR1:M17:S3","EC1J BL06J-PS-SHTR-01","EXPERIMENT","SHUTTER CLOSED","dup","no"," "," ",0
4,17,4,"BL06J-PS-STRCL-01:CR1:M17:S4","EC1J BL06J-PS-SHTR-01","EXPERIMENT","SHUTTER CLOSED","dup","yes"," "," ",3
5,17,0,"BL06I-PS-IOC-01","LOP 10 EC1IJ","BL06J-PS-SHTR-01","OK","lop","yes"," "," ",2
