"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,2,1,"BL19I-PS-RIHL-03:CR2:M02:S1","OH2 RESTRICTED","INDICATOR HEALTHY","LATCH","serial","no"," "," ",0
2,2,2,"BL19I-PS-ASB-10:CR2:M02:S2"," ","OH2 SEARCH","POINT 1 LATCH","serial","no"," "," ",1
3,2,3,"BL19I-PS-ASB-11:CR2:M02:S3"," ","OH2 SEARCH","POINT 2 LATCH","serial","no"," "," ",2
4,2,4,"BL19I-PS-ASBF-04:CR2:M02:S4","OH2 LAST AREA","SEARCH POINT","LATCH","serial","no"," "," ",3
5,3,3,"BL19I-PS-SCDEO-03:CR2:M03:S3","OH2 SEARCH","COMPLETE  DELAY","TO ENABLE OVER","dup","no"," "," ",4
6,3,4,"BL19I-PS-SCDEO-03:CR2:M03:S4","OH2 SEARCH","COMPLETE  DELAY","TO ENABLE OVER","dup","no"," "," ",5
7,3,0,"BL19I-PS-IOC-02","OH2 LOP 4 HUTCH","SEARCHED &","CLOSED","lop","no"," "," ",6
8,2,0,"BL19I-PS-IOC-02"," ","OH2 LOP 3","SEARCH COMPLETE","lop","no"," "," ",4
