"CVS Info: $Id: SR18C-PS-portShutterClosed.csv,v 1.2 2006/04/21 15:35:45 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,22,1,"SR18C-PS-FESHT-01"," ","FE18I SHUTTER","CLOSED","serial","no"," "," ",0
2,22,2,"SR18C-PS-FESHT-02"," ","FE18B SHUTTER","CLOSED","serial","no"," "," ",1
3,22,3,"SR18C-PS-FESHT-03"," ","FE19I SHUTTER","CLOSED","serial","no"," "," ",2
4,22,4,"SR18C-PS-FESHT-04"," ","FE19B SHUTTER","CLOSED","serial","no"," "," ",3
5,22,0,"SR18C-PS-IOC-01"," ","LOP6","PORT SHUTTER CLOSED","lop","yes"," "," ",4
