"CVS Info: $Id: SR06C-PS-portShutterPermits.csv,v 1.1.1.1 2006/01/12 09:57:43 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,1,1,"SR06C-PS-SRMOD-01"," "," ","SR MODE OK","dup","no","SR04C-PS-portShutterPermits.edl"," ",0
2,1,2,"SR06C-PS-SRMOD-02"," "," ","SR MODE OK","dup","no","SR04C-PS-portShutterPermits.edl"," ",1
3,1,3,"SR06C-PS-FESHT-07"," ","FE06I SHUTTER","INTERLOCK","dup","no"," "," ",2
4,1,4,"SR06C-PS-FESHT-08"," ","FE06I SHUTTER","INTERLOCK","dup","no"," "," ",3
5,1,0,"SR06C-PS-IOC-02"," ","LOP1","FE06I PORT SHUTTER PERMIT","lop","yes"," "," ",4
6,2,3,"SR06C-PS-FESHT-09"," ","FE06B SHUTTER","INTERLOCK","dup","no"," "," ",2
7,2,4,"SR06C-PS-FESHT-10"," ","FE06B SHUTTER","INTERLOCK","dup","no"," "," ",6
8,2,0,"SR06C-PS-IOC-02"," ","LOP2","FE06B PORT SHUTTER PERMIT","lop","yes"," "," ",7
9,3,3,"SR06C-PS-FESHT-05"," ","FE07I SHUTTER","INTERLOCK","dup","no"," "," ",2
10,3,4,"SR06C-PS-FESHT-06"," ","FE07I SHUTTER","INTERLOCK","dup","no"," "," ",9
11,3,0,"SR06C-PS-IOC-02"," ","LOP3","FE07I PORT SHUTTER PERMIT","lop","yes"," "," ",10
12,4,3,"SR06C-PS-FESHT-11"," ","FE07B SHUTTER","INTERLOCK","dup","no"," "," ",2
13,4,4,"SR06C-PS-FESHT-12"," ","FE07B SHUTTER","INTERLOCK","dup","no"," "," ",12
14,4,0,"SR06C-PS-IOC-02"," ","LOP4","FE07B PORT SHUTTER PERMIT","lop","yes"," "," ",13
