"CVS Info: $Id: SR20C-PS-restrictedLamp.csv,v 1.1.1.1 2006/01/18 15:12:37 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,16,1,"SR20C-PS-SRCH-02"," "," ","SEARCH OK","serial","no","SR20C-PS-searchOk.edl"," ",0
2,16,2,"SR20C-PS-LTDAC-05"," "," ","LTD ACCESS","serial","no","SR20C-PS-notLtdAccess.edl"," ",1
3,16,3,"SR20C-PS-INSCH-02"," ","SEARCH IN","PROGRESS","dup","no"," "," ",0
4,16,4,"SR20C-PS-INSCH-03"," ","SEARCH IN","PROGRESS","dup","yes"," "," ",3
5,16,0,"SR20C-PS-IOC-01"," ","LOP12","RESTRICTED LAMP","lop","yes"," "," ",2
