"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,12,1,"BL12I-PS-RIHL-06:CR3:M12:S1","EH2 RESTRICTED","INDICATOR HEALTHY","LATCH","serial","no"," "," ",0
2,12,2,"BL12I-PS-ASB-10:CR3:M12:S2"," ","EH2 SEARCH","POINT 1 LATCH","serial","no"," "," ",1
3,12,3,"BL12I-PS-ASB-11:CR3:M12:S3"," ","EH2 SEARCH","POINT 2 LATCH","dup","no"," "," ",2
4,12,4,"BL12I-PS-ASB-11:CR3:M12:S4"," ","EH2 SEARCH","POINT 2 LATCH","dup","no"," "," ",3
5,13,3,"BL12I-PS-ASB-12:CR3:M13:S3"," ","EH2 SEARCH","POINT 3 LATCH","serial","no"," "," ",4
6,13,4,"BL12I-PS-ASBF-06:CR3:M13:S4","EH2 LAST AREA","SEARCH POINT","LATCH","serial","no"," "," ",5
7,11,3,"BL12I-PS-SCDEO-06:CR3:M11:S3","EH2 SEARCH","COMPLETE DELAY","TO ENABLE OVER","dup","no"," "," ",6
8,11,4,"BL12I-PS-SCDEO-06:CR3:M11:S4","EH2 SEARCH","COMPLETE DELAY","TO ENABLE OVER","dup","no"," "," ",7
9,11,0,"BL12I-PS-IOC-03","EH2 LOP 9 HUTCH","SEARCHED &","CLOSED","lop","no"," "," ",8
10,13,0,"BL12I-PS-IOC-03"," ","EH2 LOP 8","SEARCH COMPLETE","lop","no"," "," ",6
