"CVS Info: $Id: SR04C-PS-lobbyLock.csv,v 1.1.1.1 2006/03/20 16:32:19 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,12,3,"SR04C-PS-VDCL-03"," ","NOT VAULT","DOOR CLOSED","serial","no"," "," ",0
2,12,4,"SR04C-PS-LTDAC-07"," "," ","LTD ACCESS","serial","no","SR04C-PS-notLtdAccess.edl"," ",1
3,12,0,"SR04C-PS-IOC-02"," ","LOP11","LOBBY LOCK","lop","yes"," "," ",2
