"CVS Info: $Id: SR14C-PS-zoneDoorLock.csv,v 1.5 2006/04/27 10:31:41 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,12,1,"SR14C-PS-CRREL-01","CONTROL","ROOM","RELEASE","dup","no"," "," ",0
2,12,2,"SR14C-PS-CRREL-02","CONTROL","ROOM","RELEASE","dup","no"," "," ",1
3,12,3,"SR14C-PS-BOB-02"," "," ","BOB","serial","no"," "," ",2
4,12,4,"SR14C-PS-VDCO-03"," ","VAULT DOOR","CRASHOUT","serial","no"," "," ",3
5,12,0,"SR14C-PS-IOC-01"," ","LOP8","ZONE 7 DOOR LOCK","lop","yes"," "," ",4
6,14,1,"SR14C-PS-OPKEY-02"," ","SR OPERATE","KEY","dup","no"," "," ",0
7,14,2,"SR14C-PS-OPKEY-03"," ","SR OPERATE","KEY","dup","yes"," "," ",6
8,13,1,"SR14C-PS-LTDAC-06"," "," ","LTD ACCESS","serial","no","SR14C-PS-notLtdAccess.edl"," ",0
9,13,2,"SR14C-PS-LDCL-02"," ","NOT LOBBY","DOOR CLOSED","serial","yes"," "," ",8
