"CVS Info: $Id: SR14C-PS-lobbyLock.csv,v 1.2 2005/11/25 15:40:21 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,21,3,"SR14C-PS-VDCL-03"," ","NOT VAULT","DOOR CLOSED","serial","no"," "," ",0
2,21,4,"SR14C-PS-LTDAC-07"," "," ","LTD ACCESS","serial","no","SR14C-PS-notLtdAccess.edl"," ",1
3,21,0,"SR14C-PS-IOC-01"," ","LOP9 LOBBY","DOOR LOCK","lop","yes"," "," ",2
