"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,14,1,"BL21I-PS-PMIT-03:CR2:M14:S1","LOP 7 LAB10TP","PERMIT 3","BL21I-PS-SHTR-01","dup","no","BL21I-PS-Lab10TPShutter.edl"," ",0
2,14,2,"BL21I-PS-PMIT-03:CR2:M14:S2","LOP 7 LAB10TP","PERMIT 3","BL21I-PS-SHTR-01","dup","no","BL21I-PS-Lab10TPShutter.edl"," ",1
3,14,3,"BL21I-PS-STRCL-02:CR2:M14:S3","LAB10TP","BL21I-PS-SHTR-01","SHUTTER CLOSED","dup","no"," "," ",0
4,14,4,"BL21I-PS-STRCL-02:CR2:M14:S4","LAB10TP","BL21I-PS-SHTR-01","SHUTTER CLOSED","dup","yes"," "," ",3
5,14,0,"BL21I-PS-IOC-02"," ","LOP 8 LAB10TP","BL21I-PS-SHTR-01 OK","lop","yes"," "," ",2
