"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,4,1,"BL04J-PS-STRCL-02:CR1:M04:S1","OH1 BL04J-PS-SHTR-01","OPTICS SHUTTER","CLOSED","dup","no"," "," ",0
2,4,2,"BL04J-PS-STRCL-02:CR1:M04:S2","OH1 BL04J-PS-SHTR-01","OPTICS SHUTTER","CLOSED","dup","no"," "," ",1
3,1,0,"BL04J-PS-IOC-01"," ","LOP 12","OH1 HUTCH SAFE","lop","yes"," "," ",2
4,1,3,"BL04J-PS-HUEN-01:CR1:M01:S3"," ","OH1 OPTICS HUTCH","ENABLED","dup","no","BL04J-PS-opticsHutchEnabled.edl"," ",0
5,1,4,"BL04J-PS-HUEN-01:CR1:M01:S4"," ","OH1 OPTICS HUTCH","ENABLED","dup","yes","BL04J-PS-opticsHutchEnabled.edl"," ",4
