"CVS Info: $Id: SR14C-PS-summaryZonePermit.csv,v 1.4 2006/04/27 10:31:42 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,5,1,"SR14C-PS-SZPMT-01"," ","SR ZONE 7","PERMIT","dup","no","SR14C-PS-zonePermit.edl"," ",0
2,5,2,"SR14C-PS-SZPMT-02"," ","SR ZONE 7","PERMIT","dup","no","SR14C-PS-zonePermit.edl"," ",1
3,4,1,"SR14C-PS-SZPMT-03"," ","SR ZONE 5","PERMIT","serial","no","SR10C-PS-zonePermit.edl"," ",2
4,4,2,"SR14C-PS-SZPMT-04"," ","SR ZONE 6","PERMIT","serial","no","SR12C-PS-zonePermit.edl"," ",3
5,9,3,"SR14C-PS-SZPMT-05"," ","SR ZONE 8","PERMIT","serial","no","SR18C-PS-zonePermit.edl"," ",4
6,9,4,"SR14C-PS-SZPMT-06"," ","SR ZONE 9","PERMIT","serial","no","SR20C-PS-zonePermit.edl"," ",5
7,9,0,"SR14C-PS-IOC-02","LOP9","SR14 SUMMARY ZONE","PERMIT","lop","yes"," "," ",6
