"CVS Info: $Id: SR14C-PS-portShutterPermits.csv,v 1.3 2005/11/28 13:49:22 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,1,1,"SR14C-PS-SRMOD-01"," "," ","SR MODE OK","dup","no","SR04C-PS-portShutterPermits.edl"," ",0
2,1,2,"SR14C-PS-SRMOD-02"," "," ","SR MODE OK","dup","no","SR04C-PS-portShutterPermits.edl"," ",1
3,1,3,"SR14C-PS-FESHT-09"," ","FE14I SHUTTER","INTERLOCK","dup","no"," "," ",2
4,1,4,"SR14C-PS-FESHT-10"," ","FE14I SHUTTER","INTERLOCK","dup","no"," "," ",3
5,1,0,"SR14C-PS-IOC-02","LOP1","FE14I PORT","SHUTTER PERMIT","lop","yes"," "," ",4
6,2,3,"SR14C-PS-FESHT-13"," ","FE14B SHUTTER","INTERLOCK","dup","no"," "," ",2
7,2,4,"SR14C-PS-FESHT-14"," ","FE14B SHUTTER","INTERLOCK","dup","no"," "," ",6
8,2,0,"SR14C-PS-IOC-02","LOP2","FE14B PORT","SHUTTER PERMIT","lop","yes"," "," ",7
9,3,3,"SR14C-PS-FESHT-15"," ","FE15I SHUTTER","INTERLOCK","dup","no"," "," ",2
10,3,4,"SR14C-PS-FESHT-16"," ","FE15I SHUTTER","INTERLOCK","dup","no"," "," ",9
11,3,0,"SR14C-PS-IOC-02","LOP3","FE15I PORT","SHUTTER PERMIT","lop","yes"," "," ",10
12,4,3,"SR14C-PS-FESHT-17"," ","FE15B SHUTTER","INTERLOCK","dup","no"," "," ",2
13,4,4,"SR14C-PS-FESHT-18"," ","FE15B SHUTTER","INTERLOCK","dup","no"," "," ",12
14,4,0,"SR14C-PS-IOC-02","LOP4","FE15B PORT","SHUTTER PERMIT","lop","yes"," "," ",13
15,5,3,"SR14C-PS-FESHT-19"," ","FE16I SHUTTER","INTERLOCK","dup","no"," "," ",2
16,5,4,"SR14C-PS-FESHT-20"," ","FE16I SHUTTER","INTERLOCK","dup","no"," "," ",15
17,5,0,"SR14C-PS-IOC-02","LOP5","FE16I PORT","SHUTTER PERMIT","lop","yes"," "," ",16
18,6,3,"SR14C-PS-FESHT-11"," ","FE16B SHUTTER","INTERLOCK","dup","no"," "," ",2
19,6,4,"SR14C-PS-FESHT-12"," ","FE16B SHUTTER","INTERLOCK","dup","no"," "," ",18
20,6,0,"SR14C-PS-IOC-02","LOP6","FE16B PORT","SHUTTER PERMIT","lop","yes"," "," ",19
21,7,3,"SR14C-PS-FESHT-23"," ","FE17I SHUTTER","INTERLOCK","dup","no"," "," ",2
22,7,4,"SR14C-PS-FESHT-24"," ","FE17I SHUTTER","INTERLOCK","dup","no"," "," ",21
23,7,0,"SR14C-PS-IOC-02","LOP7","FE17I PORT","SHUTTER PERMIT","lop","yes"," "," ",22
24,8,3,"SR14C-PS-FESHT-21"," ","FE17B SHUTTER","INTERLOCK","dup","no"," "," ",2
25,8,4,"SR14C-PS-FESHT-22"," ","FE17B SHUTTER","INTERLOCK","dup","no"," "," ",24
26,8,0,"SR14C-PS-IOC-02","LOP8","FE17B PORT","SHUTTER PERMIT","lop","yes"," "," ",25
