"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,18,1,"FE05I-PS-SHTOK-01:CR1:M18:S1"," ","G LOP 13 PERMIT 3","FE05I-PS-SHTR-01","dup","no","BL05I-PS-globalShutter.edl"," ",0
2,18,2,"FE05I-PS-SHTOK-01:CR1:M18:S2"," ","G LOP 13 PERMIT 3","FE05I-PS-SHTR-01","dup","no","BL05I-PS-globalShutter.edl"," ",1
3,18,3,"FE05I-PS-STRCL-01:CR1:M18:S3","G FE05I-PS-SHTR-01","PORT","SHUTTER CLOSED","dup","no"," "," ",0
4,18,4,"FE05I-PS-STRCL-01:CR1:M18:S4","G FE05I-PS-SHTR-01","PORT","SHUTTER CLOSED","dup","yes"," "," ",3
5,18,0,"BL05I-PS-IOC-01","LOP 11 G","FE05I-PS-SHTR-01","OK","lop","yes"," "," ",2
