"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,14,1,"BL08I-PS-SHTOK-01:CR1:M14:S1","OC2 LOP 7 PERMIT 2","BL08I-PS-SHTR-01","EXPERIMENT SHUTTER","dup","no","BL08I-PS-oC2IExperimentShutter.edl"," ",0
2,14,2,"BL08I-PS-SHTOK-01:CR1:M14:S2","OC2 LOP 7 PERMIT 2","BL08I-PS-SHTR-01","EXPERIMENT SHUTTER","dup","no","BL08I-PS-oC2IExperimentShutter.edl"," ",1
3,14,3,"BL08I-PS-STRCL-02:CR1:M14:S3","OC2 BL08I-PS-SHTR-01","EXPERIMENT","SHUTTER CLOSED","dup","no"," "," ",0
4,14,4,"BL08I-PS-STRCL-02:CR1:M14:S4","OC2 BL08I-PS-SHTR-01","EXPERIMENT","SHUTTER CLOSED","dup","yes"," "," ",3
5,14,0,"BL08I-PS-IOC-01","LOP 8 OC2","BL08I-PS-SHTR-01","OK","lop","yes"," "," ",2
