"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,12,1,"BL08J-PS-VACOK-01:CR1:M12:S1"," ","OC2 VACUUM","SWITCHES OK","serial","no"," "," ",0
2,12,2,"BL08J-PS-VACOK-02:CR1:M12:S2"," "," ","SPARE","serial","no"," "," ",1
3,12,3,"BL08J-PS-VACOK-03:CR1:M12:S3"," "," ","SPARE","dup","no"," "," ",2
4,12,4,"BL08J-PS-VACOK-03:CR1:M12:S4"," "," ","SPARE","dup","no"," "," ",3
5,12,0,"BL08I-PS-IOC-01","LOP 9 OC2 PERMIT 5","BL08J-PS-SHTR-01","EXPERIMENT SHUTTER","lop","no"," "," ",4
