"CVS Info: $Id: LI-PS-auxDoorLock.csv,v 1.6 2006/01/05 11:45:04 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,18,1,"LI-PS-AUXDC-01"," ","NOT AUX.","DOOR CRASH","serial","no"," "," ",0
2,18,2,"LI-PS-KEY-04"," "," ","LINAC KEY","serial","no"," "," ",1
3,18,3,"LI-PS-BOB-02"," "," ","BOB","serial","no"," "," ",2
4,18,4,"LI-PS-AUXIR-01"," ","NOT AUX.","INT. RELEASE","serial","no"," "," ",3
5,18,0,"LI-PS-IOC-01"," ","LOP9","AUX. DOOR LOCK","lop","yes"," "," ",4
6,17,3,"LI-PS-AUXDC-02"," ","NOT AUX.","DOOR CRASH","serial","no"," "," ",0
7,17,4,"LI-PS-MND-01"," ","MAIN DOOR","CLOSED","serial","yes"," "," ",6
