"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v","24v","24v","24v","24v","no"," "," ",0
1,18,1,"BL09I-PS-SHTOK-01:CR2:M18:S1","BL09I-PS-RACK-01","G LOP 13 PERMIT 3","FE09I-01 PORT SHTR","dup","no","BL09I-PS-globalShutter.edl"," ",0
2,18,2,"BL09I-PS-SHTOK-01:CR2:M18:S2","BL09I-PS-RACK-01","G LOP 13 PERMIT 3","FE09I-01 PORT SHTR","dup","no","BL09I-PS-globalShutter.edl"," ",1
3,18,3,"BL09I-PS-STRCL-06:CR2:M18:S3","BL09I-PS-RACK-01","G FE09I-PS-SHTR-01","PORT SHUTTER CLOSED","dup","no"," "," ",0
4,18,4,"BL09I-PS-STRCL-06:CR2:M18:S4","BL09I-PS-RACK-01","G FE09I-PS-SHTR-01","PORT SHUTTER CLOSED","dup","yes"," "," ",3
5,18,0,"BL09I-PS-IOC-02","G LOP 11","FE09I-PS-SHTR-01","OK","lop","yes"," "," ",2
