"CVS Info: $Id: SR18C-PS-scRfPermit.csv,v 1.2 2006/04/21 15:35:48 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,15,1,"SR18C-PS-AZPMT-03"," ","ALL SR ZONES","PERMIT","dup","no","SR04C-PS-allSrZonesPermit.edl"," ",0
2,15,2,"SR18C-PS-AZPMT-04"," ","ALL SR ZONES","PERMIT","dup","no","SR04C-PS-allSrZonesPermit.edl"," ",1
3,15,3,"SR18C-PS-SCTST-01"," ","SC CAVITY","TEST MODE","dup","no"," "," ",0
4,15,4,"SR18C-PS-SCTST-02"," ","SC CAVITY","TEST MODE","dup","yes"," "," ",3
5,15,0,"SR18C-PS-IOC-02","LOP8","SC CAVITY","RF PERMIT","lop","yes"," "," ",2
