"Dummy header. Was CVS keywords",,,,,,,,,,,
"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"gap","gap","gap","gap","gap","no"," "," ",0
1,11,1,"BL11I-PS-ANALA-03:CR2:M11:S1","EH2","BL11I-PS-ANNUN-03","ANNUNCIATOR ALARM","serial","no"," "," ",0
2,0,0,"gap","gap","gap","gap","gap","no"," "," ",1
3,11,2,"BL11I-PS-BOBIA-03:CR2:M11:S2","EH2","BEAM OFF BUTTON","INDICATORS ALARM","serial","no"," "," ",2
4,0,0,"gap","gap","gap","gap","gap","no"," "," ",3
5,14,1,"BL11I-PS-LOWAL-03:CR2:M14:S1","EH2","LOW LEVEL","ALARM","serial","no"," "," ",4
6,0,0,"gap","gap","gap","gap","gap","no"," "," ",5
7,14,2,"BL11I-PS-J3PI-03:CR2:M14:S2","EH2","BL11I-PS-SHTR-02","J3 PLUGGED IN","serial","no"," "," ",6
