"CVS Info: $Id: BR02C-PS-radiationOk.csv,v 1.2 2006/04/27 10:31:27 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,19,1,"BR02C-PS-RDMND-01"," ","INTEGRATED","DOSE 1","serial","no"," ","now",0
2,19,2,"BR02C-PS-RDMNR-01"," "," ","DOSE RATE 1","serial","no"," ","now",1
3,19,3,"BR02C-PS-RDMND-02"," ","INTEGRATED","DOSE 2","serial","no"," ","now",2
4,19,4,"BR02C-PS-RDMNR-02"," "," ","DOSE RATE 2","serial","no"," ","now",3
5,19,0,"BR02C-PS-IOC-01"," ","LOP16","BR02C RAD OK","lop","no"," "," ",4
